91.203.140.0/22,UA,UA-30,Kyiv,
91.203.140.0/23,UA,UA-30,Kyiv,
91.203.140.0/24,UA,UA-30,Kyiv,
91.203.141.0/24,UA,UA-30,Kyiv,
91.203.142.0/23,UA,UA-30,Kyiv,
91.203.142.0/24,UA,UA-30,Kyiv,
91.203.143.0/24,UA,UA-30,Kyiv,
91.215.68.0/22,UA,UA-30,Kyiv,
91.215.68.0/23,UA,UA-30,Kyiv,
91.215.68.0/24,UA,UA-30,Kyiv,
91.215.69.0/24,UA,UA-30,Kyiv,
91.215.70.0/23,UA,UA-30,Kyiv,
91.215.70.0/24,UA,UA-30,Kyiv,
91.215.71.0/24,UA,UA-30,Kyiv,
80.70.78.0/23,UA,UA-30,Kyiv,
80.70.78.0/24,UA,UA-30,Kyiv,
80.70.79.0/24,UA,UA-30,Kyiv,
